	id	cleaned_text_w2v	w2v_similarities
67591	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
45876	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
69206	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
69373	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
57082	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
3189	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
47390	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
	id	cleaned_text_w2v	w2v_similarities
84365	1.33997E+18	al ahly wins awards club century beating likes real madrid bayern munich barcelona title club president invited dubai attend ceremony dec	0.652302742004394
66342	1.33993E+18	globe soccer awards club century beating likes real madrid bayern munich barcelona title club president invited dubai attend ceremony dec clubofthecentury yallayaahly	0.641987562179565
86889	1.33995E+18	game	0.628708124160766
71649	1.33997E+18	state play	0.587167024612426
74602	1.33997E+18	state play	0.587167024612426
76864	1.33997E+18	state play	0.587167024612426
87619	1.33997E+18	state play	0.587167024612426
58190	1.32552E+18	biden vs trump boat parade	0.577866435050964
61271	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
50408	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
94615	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
49379	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
81758	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
67591	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
45876	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
69206	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
69373	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
57082	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
3189	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
47390	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
	id	cleaned_text_w2v	w2v_similarities
19089	1.33995E+18	friendly reminder trump could retired billions dollars living life chose save america protect future descendants never forget matter comes must stand side stood	0.915239989757537
53876	1.33995E+18	friendly reminder trump could retired billions dollars living life chose save america protect future descendants never forget matter comes must stand side stood	0.915239989757537
6414	1.33995E+18	friendly reminder trump could retired billions dollars living life chose save america protect future descendants never forget matter comes must stand side stood	0.915239989757537
2315	1.33995E+18	friendly reminder trump could retired billions dollars living life chose save america protect future descendants never forget matter comes must stand side stood	0.915239989757537
70641	1.33994E+18	never let go ever pence get disappear rock actions clear sacrificed american lives one man stood next trump years smiled plastic smile complicit things things	0.906684458255767
50022	1.33994E+18	never let go ever pence get disappear rock actions clear sacrificed american lives one man stood next trump years smiled plastic smile complicit things things	0.906684458255767
22525	1.33971E+18	magical myths used elevate white men powerful status boss president head household god universe used oppress others stories throughout ages told one theme white men control	0.904245316982269
36524	1.33996E+18	rich white folks remaining rich real work pure luck system gives advantage strategically manipulating poor white folks believing existence equal treatment black brown folks bad thing order get votes power	0.903939604759216
1376	1.33996E+18	rich white folks remaining rich real work pure luck system gives advantage strategically manipulating poor white folks believing existence equal treatment black brown folks bad thing order get votes power	0.903939604759216
30896	1.33996E+18	rich white folks remaining rich real work pure luck system gives advantage strategically manipulating poor white folks believing existence equal treatment black brown folks bad thing order get votes power	0.903939604759216
90523	1.33996E+18	rich white folks remaining rich real work pure luck system gives advantage strategically manipulating poor white folks believing existence equal treatment black brown folks bad thing order get votes power	0.903939604759216
21270	1.33996E+18	rich white folks remaining rich real work pure luck system gives advantage strategically manipulating poor white folks believing existence equal treatment black brown folks bad thing order get votes power	0.903939604759216
63530	1.33996E+18	rich white folks remaining rich real work pure luck system gives advantage strategically manipulating poor white folks believing existence equal treatment black brown folks bad thing order get votes power	0.903939604759216
34981	1.33996E+18	god always wins sad ones fighting god country democrats control blue cities states let sink people never surrender god america democrats enemy within	0.902247548103332
30717	1.33996E+18	god always wins sad ones fighting god country democrats control blue cities states let sink people never surrender god america democrats enemy within	0.902247548103332
27652	1.33996E+18	god always wins sad ones fighting god country democrats control blue cities states let sink people never surrender god america democrats enemy within	0.902247548103332
14238	1.33996E+18	god always wins sad ones fighting god country democrats control blue cities states let sink people never surrender god america democrats enemy within	0.902247548103332
25535	1.33996E+18	god always wins sad ones fighting god country democrats control blue cities states let sink people never surrender god america democrats enemy within	0.902247548103332
4648	1.33995E+18	get people crime knows way prison removed white house destroy entire country always done	0.901234686374664
83600	1.2245E+18	speechless first time life president first lady invited sit table used foster child need sit women cares children man fights people colors honor	0.900513887405395
	id	cleaned_text_w2v	w2v_similarities
48378	1.33957E+18	bad mental health issues get president followers government media mental health experts	0.899763584136962
43915	1.33957E+18	bad mental health issues get president followers government media mental health experts	0.899763584136962
86438	1.33976E+18	hearing lot democrats protected health care coverage affordable care act reply tweet monthly premium annual deductible	0.899074792861938
16494	1.33995E+18	see trump working health care plan	0.888944745063781
1209	1.33971E+18	behalf patients healthcare workers president letter requesting province consider every possible policy measure avoid crisis assure safe access care protect patients staff physicians details	0.875450491905212
21218	1.33975E+18	wife health human services secretary covid	0.871686816215515
28337	1.33981E+18	read amounts people pay health insurance comments tweet private insurance indefensible	0.87136685848236
61121	1.32626E+18	cognitive dissonance biden saying healthcare human right continuing support private healthcare industry amounts idea able get better human rights resources	0.870177745819091
56486	1.32626E+18	cognitive dissonance biden saying healthcare human right continuing support private healthcare industry amounts idea able get better human rights resources	0.870177745819091
63234	1.33429E+18	washington must craft china policy puts human rights front center without neglecting urgent need environmental protection greater respect labor rights fair trade mr biden keep pressure hong kong	0.868822515010833
42735	1.33974E+18	scoop alex azar tells staff wife tested positive covid though trump health secretary said continue work following public health advice physicians like cdc director redfield	0.866193354129791
83207	1.33995E+18	thing deploy mental health professional	0.865790665149688
2212	1.33995E+18	thing deploy mental health professional	0.865790665149688
94505	1.33996E+18	yes almost anyone recent contact yes almost physician mental health professional enough medical information support involuntary evaluation simplest routine procedure one president	0.863581955432891
83703	1.33996E+18	yes almost anyone recent contact yes almost physician mental health professional enough medical information support involuntary evaluation simplest routine procedure one president	0.863581955432891
66722	1.33996E+18	yes almost anyone recent contact yes almost physician mental health professional enough medical information support involuntary evaluation simplest routine procedure one president	0.863581955432891
22536	1.33996E+18	yes almost anyone recent contact yes almost physician mental health professional enough medical information support involuntary evaluation simplest routine procedure one president	0.863581955432891
82355	1.33996E+18	yes almost anyone recent contact yes almost physician mental health professional enough medical information support involuntary evaluation simplest routine procedure one president	0.863581955432891
36737	1.33996E+18	yes almost anyone recent contact yes almost physician mental health professional enough medical information support involuntary evaluation simplest routine procedure one president	0.863581955432891
55783	1.33996E+18	yes almost anyone recent contact yes almost physician mental health professional enough medical information support involuntary evaluation simplest routine procedure one president	0.863581955432891
	id	cleaned_text_w2v	w2v_similarities
67895	1.33939E+18	lots gun owners democrats democrats anti gun believe gun safety classes gun safes prosecuting people leave guns lying around resulting death oppose guns treated like toys treated without respect	0.758675694465637
65585	1.33939E+18	lots gun owners democrats democrats anti gun believe gun safety classes gun safes prosecuting people leave guns lying around resulting death oppose guns treated like toys treated without respect	0.758675694465637
89458	1.33974E+18	must end federal prohibition marijuana draconian marijuana laws contributed racial inequality keep fighting senate action work biden advance criminal justice reform undo harms done war drugs	0.754086852073669
74411	1.33997E+18	atf pushing gun laws already stake corrupt government entities lining kiss communist democrats asses	0.74393206834793
6661	1.33996E+18	democrats come fight sharp knives gop show plastic guns	0.741707682609558
67819	1.33997E+18	violating law set bush smooth transfer power act prosecuted democrats use laws	0.730589151382446
100100	1.33995E+18	democrats insist repeal hyde amendment next covid relief bill hyde bars medicaid paying abortions repealing would boost economic prospects bottom society	0.729919135570526
97536	1.33995E+18	democrats insist repeal hyde amendment next covid relief bill hyde bars medicaid paying abortions repealing would boost economic prospects bottom society	0.729919135570526
65016	1.33996E+18	fire department dismantle trucks putting fire neither fed senate republicans demand prevent fed responding future economic crises dangerous	0.728942036628723
51919	1.33996E+18	fire department dismantle trucks putting fire neither fed senate republicans demand prevent fed responding future economic crises dangerous	0.728942036628723
88321	1.33996E+18	fire department dismantle trucks putting fire neither fed senate republicans demand prevent fed responding future economic crises dangerous	0.728942036628723
64040	1.33996E+18	fire department dismantle trucks putting fire neither fed senate republicans demand prevent fed responding future economic crises dangerous	0.728942036628723
97194	1.33966E+18	smoking gun email ties hunter biden burisma lobbying op involving clinton campaign election confirms state targeting distract corruption	0.72873306274414
54807	1.33996E+18	democrats completely lost minds abolish police abolish jails abolish student debt abolish gun rights abolish immigration law abolish border wall trouble hell votes people	0.725126326084137
28695	1.33996E+18	democrats completely lost minds abolish police abolish jails abolish student debt abolish gun rights abolish immigration law abolish border wall trouble hell votes people	0.725126326084137
82383	1.33996E+18	democrats completely lost minds abolish police abolish jails abolish student debt abolish gun rights abolish immigration law abolish border wall trouble hell votes people	0.725126326084137
33562	1.33996E+18	democrats completely lost minds abolish police abolish jails abolish student debt abolish gun rights abolish immigration law abolish border wall trouble hell votes people	0.725126326084137
33445	1.33996E+18	democrats completely lost minds abolish police abolish jails abolish student debt abolish gun rights abolish immigration law abolish border wall trouble hell votes people	0.725126326084137
17431	1.33996E+18	democrats completely lost minds abolish police abolish jails abolish student debt abolish gun rights abolish immigration law abolish border wall trouble hell votes people	0.725126326084137
22847	1.33996E+18	democrats completely lost minds abolish police abolish jails abolish student debt abolish gun rights abolish immigration law abolish border wall trouble hell votes people	0.725126326084137
	id	cleaned_text_w2v	w2v_similarities
70548	1.33993E+18	obama rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes terms trump rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes term	0.605193495750427
40579	1.33993E+18	obama rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes terms trump rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes term	0.605193495750427
52635	1.33993E+18	obama rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes terms trump rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes term	0.605193495750427
9231	1.33993E+18	obama rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes terms trump rape accusations articles impeachment election fraud cases thrown rejections scotus lost votes term	0.605193495750427
44724	8.25843E+17	democrat tulsigabbard confirms obama hillary mccain kerry others committed treason arming isis	0.573826551437377
5966	8.25843E+17	democrat tulsigabbard confirms obama hillary mccain kerry others committed treason arming isis	0.573826551437377
39393	8.25843E+17	democrat tulsigabbard confirms obama hillary mccain kerry others committed treason arming isis	0.573826551437377
53028	8.25843E+17	democrat tulsigabbard confirms obama hillary mccain kerry others committed treason arming isis	0.573826551437377
45181	1.33993E+18	impeachment downfall complicit republican party refused sworn duty uphold constitution rule law	0.571966528892517
48034	1.33993E+18	impeachment downfall complicit republican party refused sworn duty uphold constitution rule law	0.571966528892517
74323	1.33993E+18	impeachment downfall complicit republican party refused sworn duty uphold constitution rule law	0.571966528892517
58921	1.33996E+18	assange snowden pardoned	0.569780826568603
15276	1.33996E+18	mcconnell president confederacy	0.569338023662567
4926	1.33996E+18	impeach roberts	0.565363883972168
96759	1.33997E+18	treason	0.561050176620483
16582	1.33996E+18	treason	0.561050176620483
43816	1.33996E+18	treason	0.561050176620483
55697	1.33996E+18	breaking pentagon halts biden transition defense briefings biden team unaware directive	0.55781602859497
7510	1.33996E+18	breaking pentagon halts biden transition defense briefings biden team unaware directive	0.55781602859497
40827	1.33996E+18	breaking pentagon halts biden transition defense briefings biden team unaware directive	0.55781602859497
	id	cleaned_text_w2v	w2v_similarities
92857	1.33994E+18	barack obama plan remove trump	0.91868108510971
71588	1.33996E+18	obama first biden	0.914562344551086
12597	1.33996E+18	biden president	0.881917119026184
55659	1.33996E+18	say biden president breakingpoll	0.875902771949768
78334	1.33996E+18	say biden president breakingpoll	0.875902771949768
76132	1.33996E+18	say biden president breakingpoll	0.875902771949768
69822	1.33996E+18	say biden president breakingpoll	0.875902771949768
85136	1.33996E+18	say biden president breakingpoll	0.875902771949768
64128	1.33996E+18	say biden president breakingpoll	0.875902771949768
61863	1.33996E+18	say biden president breakingpoll	0.875902771949768
78041	1.33996E+18	say biden president breakingpoll	0.875902771949768
97448	1.33996E+18	say biden president breakingpoll	0.875902771949768
32632	1.3394E+18	joe biden got million votes barack obama bullshit	0.872226119041442
74935	1.33978E+18	joe biden president	0.866941928863525
34784	1.33978E+18	joe biden president	0.866941928863525
15466	1.33974E+18	never said bill clinton president bush president obama president trump president say joe biden kamala harris president swore oath constitution fraudulently elected politician	0.863608956336975
73005	1.33968E+18	regular reminder mitt romney right russia geopolitical foe president obama vice president biden wrong mock repeatedly	0.862518727779388
62508	1.3398E+18	clinton barack biden plan taking vaccine public bs	0.859261870384216
49743	1.33996E+18	obama biden administration get president trump james comey fbi led charge	0.859018802642822
23583	1.33996E+18	obama biden administration get president trump james comey fbi led charge	0.859018802642822
